LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
ARG,EDUEXP,PRY,USD_STUDENT,A,2013,3728.8,
AUS,EDUEXP,PRY,USD_STUDENT,A,2012,7614.8,
AUS,EDUEXP,PRY,USD_STUDENT,A,2013,8289.2,
AUT,EDUEXP,PRY,USD_STUDENT,A,2012,9790.3,
AUT,EDUEXP,PRY,USD_STUDENT,A,2013,10780.1,
BEL,EDUEXP,PRY,USD_STUDENT,A,2012,9721.1,
BEL,EDUEXP,PRY,USD_STUDENT,A,2013,9956.9,
BRA,EDUEXP,PRY,USD_STUDENT,A,2012,,M
BRA,EDUEXP,PRY,USD_STUDENT,A,2013,,M
CAN,EDUEXP,PRY,USD_STUDENT,A,2012,9129.7,
CAN,EDUEXP,PRY,USD_STUDENT,A,2013,,M
CHE,EDUEXP,PRY,USD_STUDENT,A,2012,15335.9,
CHE,EDUEXP,PRY,USD_STUDENT,A,2013,15930,
CHL,EDUEXP,PRY,USD_STUDENT,A,2012,4515.9,
CHL,EDUEXP,PRY,USD_STUDENT,A,2013,4306.5,
CHL,EDUEXP,PRY,USD_STUDENT,A,2014,4021.4,
CHN,EDUEXP,PRY,USD_STUDENT,A,2013,,M
COL,EDUEXP,PRY,USD_STUDENT,A,2013,2073.6,
CRI,EDUEXP,PRY,USD_STUDENT,A,2013,,M
CZE,EDUEXP,PRY,USD_STUDENT,A,2012,4743.4,
CZE,EDUEXP,PRY,USD_STUDENT,A,2013,4730.4,
DEU,EDUEXP,PRY,USD_STUDENT,A,2012,7748.9,
DEU,EDUEXP,PRY,USD_STUDENT,A,2013,8103.5,
DNK,EDUEXP,PRY,USD_STUDENT,A,2012,11031.8,
DNK,EDUEXP,PRY,USD_STUDENT,A,2013,11355.4,
ESP,EDUEXP,PRY,USD_STUDENT,A,2012,7077.7,
ESP,EDUEXP,PRY,USD_STUDENT,A,2013,6955.6,
EST,EDUEXP,PRY,USD_STUDENT,A,2012,5817.9,
EST,EDUEXP,PRY,USD_STUDENT,A,2013,7138.2,
FIN,EDUEXP,PRY,USD_STUDENT,A,2012,8363.4,
FIN,EDUEXP,PRY,USD_STUDENT,A,2013,8519,
FRA,EDUEXP,PRY,USD_STUDENT,A,2012,7054.1,
FRA,EDUEXP,PRY,USD_STUDENT,A,2013,7200.6,
GBR,EDUEXP,PRY,USD_STUDENT,A,2012,10006.8,
GBR,EDUEXP,PRY,USD_STUDENT,A,2013,10669.4,
GRC,EDUEXP,PRY,USD_STUDENT,A,2013,,M
HUN,EDUEXP,PRY,USD_STUDENT,A,2012,4398,
HUN,EDUEXP,PRY,USD_STUDENT,A,2013,5434.9,
IDN,EDUEXP,PRY,USD_STUDENT,A,2012,1221.4,
IDN,EDUEXP,PRY,USD_STUDENT,A,2013,1183.8,
IND,EDUEXP,PRY,USD_STUDENT,A,2013,,M
IRL,EDUEXP,PRY,USD_STUDENT,A,2012,8683.5,
IRL,EDUEXP,PRY,USD_STUDENT,A,2013,8042,
ISL,EDUEXP,PRY,USD_STUDENT,A,2012,9871.4,
ISL,EDUEXP,PRY,USD_STUDENT,A,2013,10569.1,
ISR,EDUEXP,PRY,USD_STUDENT,A,2012,7019.7,
ISR,EDUEXP,PRY,USD_STUDENT,A,2013,6941.2,
ITA,EDUEXP,PRY,USD_STUDENT,A,2012,7611.3,
ITA,EDUEXP,PRY,USD_STUDENT,A,2013,8392.2,
JPN,EDUEXP,PRY,USD_STUDENT,A,2012,8624.5,
JPN,EDUEXP,PRY,USD_STUDENT,A,2013,8748.1,
KOR,EDUEXP,PRY,USD_STUDENT,A,2012,7441.9,
KOR,EDUEXP,PRY,USD_STUDENT,A,2013,7957.5,
LTU,EDUEXP,PRY,USD_STUDENT,A,2012,16583.1,
LTU,EDUEXP,PRY,USD_STUDENT,A,2013,5078.6,
LUX,EDUEXP,PRY,USD_STUDENT,A,2012,19896.5,
LUX,EDUEXP,PRY,USD_STUDENT,A,2013,17959.4,
LVA,EDUEXP,PRY,USD_STUDENT,A,2012,4965.2,
LVA,EDUEXP,PRY,USD_STUDENT,A,2013,5974.4,
MEX,EDUEXP,PRY,USD_STUDENT,A,2012,2656,
MEX,EDUEXP,PRY,USD_STUDENT,A,2013,2717.2,
NLD,EDUEXP,PRY,USD_STUDENT,A,2012,8197.4,
NLD,EDUEXP,PRY,USD_STUDENT,A,2013,8371.4,
NOR,EDUEXP,PRY,USD_STUDENT,A,2012,12543.2,
NOR,EDUEXP,PRY,USD_STUDENT,A,2013,13273.9,
NZL,EDUEXP,PRY,USD_STUDENT,A,2012,6998,
NZL,EDUEXP,PRY,USD_STUDENT,A,2013,7354.2,
OAVG,EDUEXP,PRY,USD_STUDENT,A,2012,8075.7,
OAVG,EDUEXP,PRY,USD_STUDENT,A,2013,8477.3,
POL,EDUEXP,PRY,USD_STUDENT,A,2012,6519.7,
POL,EDUEXP,PRY,USD_STUDENT,A,2013,6919.1,
PRT,EDUEXP,PRY,USD_STUDENT,A,2012,6357.8,
PRT,EDUEXP,PRY,USD_STUDENT,A,2013,7257.6,
SAU,EDUEXP,PRY,USD_STUDENT,A,2013,,M
SVK,EDUEXP,PRY,USD_STUDENT,A,2012,5475.2,
SVK,EDUEXP,PRY,USD_STUDENT,A,2013,5941.8,
SVN,EDUEXP,PRY,USD_STUDENT,A,2012,9081.3,
SVN,EDUEXP,PRY,USD_STUDENT,A,2013,9120.6,
SWE,EDUEXP,PRY,USD_STUDENT,A,2012,10444.2,
SWE,EDUEXP,PRY,USD_STUDENT,A,2013,10663.8,
TUR,EDUEXP,PRY,USD_STUDENT,A,2012,2639.8,
TUR,EDUEXP,PRY,USD_STUDENT,A,2013,2893.7,
USA,EDUEXP,PRY,USD_STUDENT,A,2012,11029.5,
USA,EDUEXP,PRY,USD_STUDENT,A,2013,10958.7,
ZAF,EDUEXP,PRY,USD_STUDENT,A,2013,2365.7,
