LOCATION,EDUEXP,PISAMATH
AUS,8289.2,494
AUT,10780.1,497
BEL,9956.9,507
CHE,15930,521
CHL,4306.5,423
COL,2073.6,390
CZE,4730.4,492
DEU,8103.5,506
DNK,11355.4,511
ESP,6955.6,486
EST,7138.2,520
FIN,8519,511
FRA,7200.6,493
GBR,10669.4,492
HUN,5434.9,477
IDN,1183.8,386
IRL,8042,504
ISL,10569.1,488
ISR,6941.2,470
ITA,8392.2,490
JPN,8748.1,532
KOR,7957.5,524
LUX,17959.4,486
LVA,5974.4,482
MEX,2717.2,408
NLD,8371.4,512
NOR,13273.9,502
NZL,7354.2,495
OAVG,8477.3,490
POL,6919.1,504
PRT,7257.6,492
SVK,5941.8,475
SVN,9120.6,510
SWE,10663.8,494
TUR,2893.7,420
USA,10958.7,470
