x,y
0,1
0.48,1.06
0.85,1.1900000000000002
1.14,1.32
1.61,1.6700000000000002
1.91,1.93
2.17,2.22
2.33,2.51
2.57,2.96
2.94,3.4699999999999998
3.1,3.84
3.23,4.26
3.49,4.819999999999999
3.65,5.37
3.92,5.95
4.07,6.59
4.23,7.119999999999999
4.37,7.75
4.5,8.39
4.6,8.94
-0,1
-0.48,1.06
-0.85,1.1900000000000002
-1.14,1.32
-1.61,1.6700000000000002
-1.91,1.93
-2.17,2.22
-2.33,2.51
-2.57,2.96
-2.94,3.4699999999999998
-3.1,3.84
-3.23,4.26
-3.49,4.819999999999999
-3.65,5.37
-3.92,5.95
-4.07,6.59
-4.23,7.119999999999999
-4.37,7.75
-4.5,8.39
-4.6,8.94
